Domain,Description
markettrendingcenter[.]com,Black Artemis malicious document C2 domain.
lm-career[.]com,Black Artemis malicious document C2 domain.
yourblogcenter[.]com,Black Artemis malicious document C2 domain.
allinfostudio[.]com,Black Artemis malicious document C2 domain.
clicktocareers[.]com,Black Artemis malicious document C2 domain.
www[.]forecareer[.]com,Black Artemis malicious document C2 domain.
shopweblive[.]com,Black Artemis malicious document C2 domain.
find-dreamjob[.]com,Black Artemis web exploitation domain.
disneycareers[.]net,Black Artemis web exploitation domain.
varietyjob[.]com,Black Artemis web exploitation domain.
ziprecruiters[.]org,Black Artemis web exploitation domain.
hxxps://wicall[.]ir/logo.png,Black Artemis-compromised domain used for C2.
hxxp://gbflatinamerica[.]com/test1.php,Black Artemis-compromised domain used for C2.
hxxps://www[.]tronslog[.]com/public/appstore.php,Black Artemis-compromised domain used for C2.
hxxps://pvacek[.]cz/wp-content/plugins/akismet/control/en/en.jpg,Black Artemis-compromised domain used for C2.
